# rank	test_index	similarity
333	1989	0.098583
334	1238	0.098568
335	1110	0.098405
336	1831	0.098287
337	1709	0.098004
338	196	0.097564
339	649	0.097460
340	2018	0.097246
341	834	0.096061
342	227	0.095900
343	683	0.095458
344	1136	0.095327
345	646	0.095290
346	438	0.094977
347	760	0.094951
348	556	0.094766
349	1725	0.094733
350	1804	0.094316
351	1150	0.093761
352	1078	0.093548
353	1305	0.093389
354	734	0.093344
355	1823	0.093301
356	155	0.093089
357	1454	0.092818
358	2239	0.092713
359	1525	0.092632
360	44	0.092619
361	1007	0.092543
362	1092	0.092273
363	2095	0.092258
364	2263	0.092005
365	2108	0.091967
366	1122	0.091866
367	1026	0.091794
368	1549	0.091788
369	416	0.091784
370	2446	0.091781
371	1629	0.091749
372	2353	0.091612
373	1559	0.091166
374	2310	0.090952
375	1006	0.090902
376	639	0.090774
377	1154	0.090677
378	1795	0.090541
379	643	0.090412
380	2227	0.090144
381	1836	0.089984
382	173	0.089918
383	845	0.089605
384	1980	0.089229
385	782	0.089195
386	652	0.089060
387	2369	0.088898
388	1904	0.088805
389	421	0.088554
390	1445	0.088550
391	1160	0.088482
392	150	0.088444
393	1792	0.088442
394	514	0.088286
395	969	0.088226
396	393	0.087737
397	2355	0.087721
398	1049	0.087696
399	648	0.087508
400	1252	0.087414
401	2266	0.087414
402	1679	0.087369
403	1700	0.087364
404	1389	0.087180
405	1505	0.087145
406	10	0.087030
407	1275	0.086975
408	1308	0.086967
409	380	0.086830
410	736	0.086827
411	1907	0.086824
412	2040	0.086742
413	1885	0.086741
414	862	0.086607
415	2428	0.086403
416	460	0.086297
417	2167	0.086161
418	225	0.085921
419	1637	0.085760
420	1494	0.085730
421	2001	0.085505
422	1852	0.085494
423	513	0.085451
424	1835	0.085349
425	2286	0.085108
426	1830	0.084865
427	2162	0.084810
428	2359	0.084797
429	16	0.084614
430	1103	0.084584
431	522	0.084541
432	96	0.084301
433	1231	0.084191
434	584	0.084004
435	745	0.083798
436	1791	0.083733
437	1422	0.083568
438	765	0.083489
439	1014	0.083458
440	653	0.083336
441	94	0.083226
442	454	0.083205
443	923	0.083062
444	284	0.082974
445	1185	0.082793
446	2020	0.082743
447	1897	0.082658
448	2335	0.082608
449	665	0.082463
450	2146	0.082402
451	2459	0.082253
452	1115	0.081706
453	694	0.081518
454	795	0.081062
455	1469	0.080929
456	1651	0.080724
457	1148	0.080659
458	548	0.080490
459	1126	0.080342
460	182	0.080257
461	1291	0.080213
462	2206	0.080163
463	111	0.080141
464	858	0.079767
465	1925	0.079563
466	2334	0.079162
467	1940	0.079029
468	936	0.078678
469	64	0.078636
470	99	0.078633
471	2326	0.078505
472	1084	0.077912
473	1895	0.077792
474	331	0.077295
475	167	0.077075
476	2009	0.076985
477	703	0.076769
478	1527	0.076603
479	1683	0.076371
480	1415	0.076349
481	1573	0.076257
482	1752	0.076254
483	1237	0.076104
484	1074	0.075943
485	933	0.075762
486	833	0.075742
487	701	0.075711
488	1819	0.075607
489	1890	0.075530
490	722	0.075083
491	872	0.074879
492	75	0.074741
493	1880	0.074671
494	1915	0.074601
495	2376	0.074437
496	1939	0.074327
497	1682	0.074161
498	2163	0.074139
499	1937	0.073866
500	849	0.073840
501	901	0.073704
502	2216	0.073641
503	2308	0.073616
504	185	0.073303
505	1312	0.073234
506	1304	0.073215
507	780	0.073102
508	444	0.072993
509	2035	0.072763
510	1656	0.072673
511	1574	0.072605
512	410	0.072572
513	693	0.072440
514	1740	0.072421
515	1333	0.072226
516	1950	0.072211
517	1484	0.072160
518	470	0.072050
519	258	0.072035
520	2499	0.072017
521	2431	0.071952
522	804	0.071737
523	353	0.071658
524	210	0.071536
525	466	0.071496
526	1775	0.071330
527	2214	0.071280
528	356	0.071234
529	1470	0.071202
530	2004	0.071099
531	114	0.071097
532	2447	0.071053
533	1639	0.071038
534	437	0.070768
535	1943	0.070710
536	1336	0.070670
537	1125	0.070645
538	1753	0.070506
539	1920	0.070409
540	1338	0.070159
541	2321	0.070028
542	172	0.069937
543	1500	0.069768
544	2274	0.069679
545	2415	0.069637
546	240	0.069427
547	1456	0.069423
548	1440	0.069228
549	721	0.069169
550	1847	0.068495
551	1786	0.068453
552	799	0.068384
553	766	0.068120
554	1039	0.068089
555	1350	0.068046
556	175	0.067991
557	1038	0.067973
558	730	0.067962
559	1177	0.067890
560	2197	0.067876
561	1501	0.067688
562	195	0.067644
563	1335	0.067537
564	1694	0.067464
565	1777	0.067265
566	2192	0.067232
567	2082	0.067201
568	2365	0.067176
569	1568	0.067051
570	1424	0.066612
571	1042	0.066585
572	55	0.066427
573	503	0.066334
574	2045	0.066253
575	1710	0.066139
576	713	0.066113
577	1990	0.066107
578	613	0.065781
579	592	0.065591
580	2037	0.065565
581	2038	0.065543
582	2143	0.065534
583	1299	0.065474
584	1677	0.065437
585	86	0.065298
586	757	0.065030
587	2432	0.065010
588	851	0.064978
589	570	0.064938
590	480	0.064885
591	1945	0.064706
592	1582	0.064576
593	2382	0.064347
594	369	0.064205
595	1368	0.064052
596	866	0.064048
597	156	0.063904
598	19	0.063796
599	1322	0.063772
600	1655	0.063661
601	1644	0.063435
602	935	0.063402
603	259	0.063396
604	591	0.063173
605	2006	0.062924
606	2362	0.062769
607	1796	0.062728
608	1181	0.062720
609	763	0.062581
610	551	0.062555
611	2466	0.062490
612	2116	0.062484
613	1152	0.062362
614	1495	0.061933
615	1846	0.061931
616	2366	0.061922
617	409	0.061855
618	1188	0.061851
619	1321	0.061781
620	2069	0.061708
621	847	0.061519
622	1550	0.061297
623	100	0.061126
624	988	0.061083
625	1652	0.061018
626	231	0.060795
627	1284	0.060540
628	2194	0.060394
629	2107	0.060284
630	2072	0.060284
631	2373	0.060252
632	2196	0.060146
633	1815	0.060081
634	2180	0.060057
635	702	0.059914
636	1400	0.059897
637	1251	0.059556
638	1346	0.059432
639	1668	0.059380
640	1207	0.059345
641	1250	0.059136
642	2383	0.059099
643	1021	0.059040
644	458	0.058824
645	189	0.058714
646	1386	0.058407
647	2138	0.058340
648	1543	0.058256
649	186	0.058223
650	1118	0.057961
651	664	0.057879
652	1910	0.057846
653	1106	0.057752
654	165	0.057409
655	18	0.057333
656	2252	0.057307
657	2341	0.057180
658	746	0.057163
659	2165	0.057134
660	13	0.057054
661	213	0.056934
662	676	0.056892
663	1928	0.056888
664	278	0.056870
665	1127	0.056842
666	447	0.056820
667	1450	0.056778
668	1070	0.056661
669	486	0.056547
670	434	0.056507
671	1097	0.056407
672	418	0.056332
673	317	0.056326
674	1761	0.056271
675	1820	0.056171
676	1973	0.056143
677	2427	0.056080
678	80	0.055977
679	218	0.055786
680	1537	0.055753
681	999	0.055722
682	611	0.055338
683	136	0.055239
684	2424	0.055186
685	1850	0.054935
686	803	0.054930
687	1874	0.054863
688	1705	0.054860
689	119	0.054687
690	1209	0.054655
691	2298	0.054397
692	158	0.054270
693	1848	0.054195
694	1720	0.054044
695	705	0.053927
696	1864	0.053913
697	1947	0.053696
698	2262	0.053595
699	604	0.053494
700	680	0.053468
701	2161	0.053425
702	1706	0.053301
703	339	0.053166
704	1503	0.053003
705	1620	0.052914
706	1756	0.052895
707	327	0.052760
708	1598	0.052737
709	711	0.052662
710	2363	0.052486
711	1554	0.052474
712	2092	0.051980
713	930	0.051912
714	1353	0.051860
715	825	0.051624
716	487	0.051594
717	1793	0.051534
718	508	0.051532
719	1105	0.051468
720	673	0.051265
721	566	0.051023
722	2386	0.050886
723	1735	0.050845
724	798	0.050811
725	1077	0.050654
726	2008	0.050508
727	811	0.050358
728	1556	0.050349
729	257	0.050233
730	384	0.049945
731	596	0.049836
732	1732	0.049689
733	2481	0.049649
734	1427	0.049247
735	1618	0.049236
736	2350	0.049059
737	1670	0.049053
738	1733	0.049013
739	198	0.048996
740	561	0.048884
741	1548	0.048811
742	1663	0.048794
743	1254	0.048763
744	228	0.048732
745	832	0.048666
746	1093	0.048652
747	415	0.048578
748	1931	0.048486
749	2059	0.048469
750	1452	0.048445
751	1608	0.048418
752	2242	0.048111
753	92	0.048093
754	209	0.048090
755	1101	0.048034
756	1844	0.048022
757	2210	0.048008
758	266	0.047985
759	190	0.047840
760	2098	0.047813
761	1666	0.047705
762	1404	0.047563
763	1772	0.047507
764	1362	0.047440
765	1701	0.047425
766	706	0.047353
767	1410	0.047276
768	2483	0.047071
769	239	0.047069
770	1406	0.046797
771	465	0.046756
772	1451	0.046696
773	188	0.046691
774	1457	0.046667
775	1726	0.045872
776	602	0.045862
777	1405	0.045828
778	1031	0.045789
779	223	0.045745
780	1967	0.045723
781	1319	0.045680
782	1634	0.045248
783	2058	0.045123
784	268	0.045046
785	1685	0.044836
786	1513	0.044833
787	1580	0.044792
788	2351	0.044558
789	892	0.044267
790	2221	0.043911
791	118	0.043843
792	670	0.043830
793	1583	0.043817
794	1959	0.043755
795	1073	0.043713
796	147	0.043654
797	129	0.043544
798	1001	0.043484
799	568	0.043405
800	491	0.043340
801	45	0.043100
802	2093	0.043096
803	1570	0.042943
804	1828	0.042914
805	1911	0.042812
806	748	0.042793
807	2344	0.042627
808	294	0.042565
809	389	0.042474
810	1013	0.042269
811	1071	0.042055
812	709	0.041809
813	1147	0.041706
814	2021	0.041705
815	215	0.041622
816	2039	0.041510
817	1983	0.041502
818	854	0.041480
819	1878	0.041323
820	1253	0.041259
821	903	0.041150
822	1425	0.041122
823	2177	0.041108
824	2067	0.041066
825	1062	0.041029
826	938	0.040934
827	628	0.040922
828	900	0.040803
829	2492	0.040698
830	2443	0.040620
831	1906	0.040476
832	586	0.040313
833	1391	0.040304
834	2042	0.040207
835	1302	0.040130
836	1435	0.040118
837	53	0.040097
838	606	0.039835
839	199	0.039686
840	874	0.039676
841	2349	0.039623
842	970	0.039474
843	1766	0.039417
844	439	0.039365
845	1534	0.039334
846	1924	0.039319
847	1585	0.039272
848	2439	0.039236
849	1565	0.039204
850	2312	0.039164
851	2455	0.039163
852	2433	0.039069
853	52	0.039035
854	87	0.038952
855	57	0.038947
856	732	0.038672
857	944	0.038553
858	1780	0.038350
859	352	0.038292
860	868	0.038263
861	877	0.038259
862	1946	0.038190
863	902	0.038059
864	1888	0.037998
865	260	0.037790
866	2294	0.037663
867	2073	0.037542
868	679	0.037424
869	997	0.037392
870	2489	0.037377
871	1272	0.036916
872	500	0.036490
873	1956	0.036488
874	943	0.036424
875	310	0.036294
876	919	0.036072
877	986	0.035670
878	880	0.035607
879	70	0.035486
880	1428	0.035407
881	183	0.035302
882	785	0.035268
883	2253	0.035266
884	1396	0.035235
885	973	0.035059
886	1372	0.034922
887	1623	0.034791
888	778	0.034596
889	2105	0.034376
890	978	0.034363
891	2049	0.034108
892	1212	0.034089
893	2257	0.034030
894	650	0.033951
895	2068	0.033900
896	204	0.033887
897	1363	0.033884
898	81	0.033757
899	1116	0.033585
900	852	0.033433
901	1541	0.033416
902	1857	0.033403
903	750	0.033358
904	1279	0.033319
905	793	0.033295
906	2338	0.033285
907	2183	0.032787
908	1132	0.032749
909	707	0.032714
910	1159	0.032702
911	621	0.032573
912	2467	0.032517
913	1473	0.032465
914	2147	0.032444
915	2408	0.032289
916	1569	0.032170
917	300	0.032081
918	1762	0.032037
919	2289	0.031938
920	1202	0.031818
921	1883	0.031599
922	289	0.031545
923	396	0.031508
924	1323	0.031485
925	1843	0.031354
926	2202	0.031318
927	2496	0.031262
928	1244	0.031145
929	1359	0.031018
930	972	0.031000
931	206	0.030969
932	2152	0.030563
933	1356	0.030454
934	914	0.030447
935	1392	0.030425
936	910	0.030389
937	2176	0.030367
938	2128	0.030248
939	573	0.030244
940	2085	0.030212
941	285	0.030183
942	382	0.030154
943	207	0.029981
944	1648	0.029899
945	726	0.029332
946	1690	0.029309
947	2158	0.029211
948	957	0.029208
949	1808	0.029182
950	1162	0.029157
951	1232	0.029053
952	1765	0.028941
953	234	0.028917
954	443	0.028797
955	1511	0.028736
956	1385	0.028664
957	139	0.028578
958	873	0.028366
959	106	0.028365
960	2456	0.028299
961	829	0.028014
962	547	0.027953
963	1183	0.027934
964	116	0.027898
965	1508	0.027877
966	1453	0.027837
967	1465	0.027704
968	2292	0.027692
969	2236	0.027684
970	400	0.027492
971	1538	0.027454
972	2190	0.027421
973	1787	0.027411
974	855	0.027377
975	1987	0.027288
976	1429	0.027275
977	37	0.026964
978	983	0.026925
979	2299	0.026903
980	2495	0.026896
981	2246	0.026649
982	1029	0.026433
983	1742	0.026402
984	1436	0.026388
985	1712	0.026214
986	794	0.026157
987	2010	0.026115
988	1688	0.026077
989	1102	0.025887
990	1246	0.025701
991	2485	0.025701
992	689	0.025687
993	1970	0.025587
994	62	0.025574
995	482	0.025567
996	26	0.025466
997	1265	0.025409
998	27	0.025345
999	2436	0.025299
1000	157	0.025089
1001	133	0.025081
1002	2258	0.024974
1003	2100	0.024794
1004	2131	0.024786
1005	271	0.024454
1006	88	0.024453
1007	471	0.024043
1008	861	0.024042
1009	1289	0.023996
1010	2179	0.023796
1011	2211	0.023704
1012	1528	0.023391
1013	2003	0.023388
1014	1089	0.023340
1015	605	0.023139
1016	372	0.022957
1017	1588	0.022868
1018	474	0.022816
1019	814	0.022772
1020	1420	0.022646
